City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
562,Mankono,CI,72.14,light rain,8.0586,-6.1897,Centre d'accueil Emmaüs
565,Camacha,PT,71.02,broken clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
569,Mutis,CO,79.2,light rain,6.2262,-77.4044,Paraiso Escondido
570,Vilhena,BR,89.82,clear sky,-12.7406,-60.1458,Hotel Mirage
572,Ixtapa,MX,89.22,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
576,Alofi,NU,76.89,few clouds,-19.0595,-169.9187,Taloa Heights
577,Sulangan,PH,83.79,overcast clouds,11.1373,123.7228,Maia's Beach Resort
579,Hudson Bay,CA,82.11,broken clouds,52.85,-102.3842,Norwood Motel LTD
582,Kapustin Yar,RU,74.44,clear sky,48.5831,45.7372,"Gostinitsa ""Znamensk"""
584,Morant Bay,JM,87.42,broken clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
585,Tabontabon,PH,82.08,overcast clouds,11.0408,124.9611,Joven
586,Cabedelo,BR,79.47,clear sky,-6.9811,-34.8339,Hotel Pigalle
587,Catuday,PH,81.14,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
591,Valera,VE,79.75,overcast clouds,9.3178,-70.6036,Hotel Camino Real
592,Los Alamos,US,84.79,scattered clouds,35.8881,-106.307,"Holiday Inn Express & Suites Los Alamos Entrada Park, an IHG Hotel"
593,Alghero,IT,78.89,few clouds,40.5589,8.3181,Villa Las Tronas Hotel & Spa
597,Birjand,IR,86.47,sand,32.8663,59.2211,Birjand Tourist Hotel
598,Omboue,GA,72.82,broken clouds,-1.5746,9.2618,Hotel Olako
599,Gizo,SB,80.89,overcast clouds,-8.103,156.8419,Imagination Island
603,Acapulco,MX,87.42,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
609,Revelstoke,CA,78.82,haze,50.9832,-118.2023,Best Western Plus Revelstoke
610,Mut,TR,81.07,clear sky,36.6439,33.4389,Konak Otel
620,Ewo,CG,83.8,overcast clouds,-0.8725,14.8206,Residence Elonda Ewo
622,Nurpur,IN,82.78,overcast clouds,29.15,78.4167,AVNEESH KUMAR
624,Corn Island,NI,81.37,overcast clouds,12.1694,-83.0418,Big Fish Guest House
627,Khao Yoi,TH,82.98,light rain,13.2403,99.8243,เปิ้ล ทำเบาะ
